Date,Open,High,Low,Close
1999-01-01,609.06,614.02,608.23,613.95
1999-01-04,614.0,624.44,614.0,620.19
1999-01-05,620.22,627.2,617.4,627.2
1999-01-06,627.27,643.08,627.27,641.87
1999-01-07,641.92,659.35,641.92,654.89
1999-01-08,654.99,674.0,654.99,673.88
1999-01-11,673.97,694.9,673.97,678.24
1999-01-12,678.19,678.19,658.77,664.78
1999-01-13,664.86,681.61,664.86,667.73
1999-01-14,667.65,673.81,660.28,664.69
1999-01-15,664.75,674.11,650.42,651.37
1999-01-18,651.37,655.86,642.72,655.86
1999-01-19,655.86,659.58,640.89,642.39
1999-01-21,642.43,670.81,642.43,670.8
1999-01-22,670.82,681.58,666.15,666.89
1999-01-25,666.86,666.97,653.5,664.04
1999-01-27,664.08,690.67,664.08,683.86
1999-01-28,683.87,688.98,669.89,670.62
1999-01-29,670.62,675.53,665.95,673.88
1999-02-01,673.85,673.85,655.42,655.42
1999-02-02,655.42,655.48,642.49,645.38
1999-02-03,645.38,662.19,645.38,662.0
1999-02-04,662.01,666.0,650.68,652.79
1999-02-05,652.81,654.98,645.73,650.01
1999-02-08,650.04,653.1,637.81,638.44
1999-02-09,638.42,644.13,631.7,642.2
1999-02-10,642.3,664.29,642.3,664.22
1999-02-11,664.25,672.88,664.25,666.94
1999-02-12,666.96,675.67,666.96,674.11
1999-02-15,674.13,679.85,664.51,664.56
1999-02-16,664.54,671.77,663.35,670.26
1999-02-17,670.29,685.93,669.03,681.42
1999-02-18,681.44,693.74,681.44,683.01
1999-02-19,683.08,689.11,682.39,683.2
1999-02-22,683.21,684.57,665.25,665.8
1999-02-23,665.77,665.77,655.07,660.79
1999-02-24,660.83,671.06,660.83,669.7
1999-02-25,669.71,674.14,668.22,668.9
1999-02-26,668.91,669.87,657.86,660.7
1999-02-27,660.74,688.26,656.01,687.4
1999-03-01,687.38,708.73,687.38,707.84
1999-03-03,707.96,744.48,707.96,730.39
1999-03-04,730.4,734.68,712.69,719.76
1999-03-05,719.76,731.91,715.63,727.96
1999-03-08,728.0,743.08,727.71,735.01
1999-03-09,735.01,742.19,734.72,738.71
1999-03-10,738.89,757.61,736.94,747.78
1999-03-11,747.8,753.17,731.53,732.18
1999-03-12,732.19,743.6,731.26,742.91
1999-03-15,742.85,754.11,741.67,746.99
1999-03-16,746.99,750.91,734.19,736.74
1999-03-17,736.85,760.25,736.85,741.94
1999-03-18,741.95,755.65,739.89,755.27
1999-03-19,755.31,761.67,742.73,746.46
1999-03-20,746.41,747.44,741.57,747.0
1999-03-22,747.0,751.48,735.89,749.79
1999-03-23,749.76,758.25,748.98,751.95
1999-03-24,751.93,768.92,739.66,749.95
1999-03-25,749.95,753.59,743.84,746.27
1999-03-26,746.28,747.83,727.01,732.71
1999-03-30,732.68,736.47,722.59,736.35
1999-03-31,736.35,762.96,736.27,758.25
1999-04-01,758.25,764.19,749.38,752.64
1999-04-05,752.5,752.5,713.87,714.77
1999-04-06,714.75,718.01,696.1,716.75
1999-04-07,716.79,731.19,716.77,722.41
1999-04-08,722.42,726.06,711.84,714.7
1999-04-09,714.7,715.55,692.39,694.27
1999-04-12,694.26,696.87,677.88,694.32
1999-04-13,694.29,695.48,685.24,689.01
1999-04-15,688.85,688.85,666.09,667.99
1999-04-16,668.02,718.94,663.92,718.73
1999-04-17,718.9,737.36,663.33,667.77
1999-04-19,667.63,688.36,659.57,684.81
1999-04-20,684.83,691.92,678.88,686.55
1999-04-21,686.56,694.61,686.56,691.76
1999-04-22,691.76,700.45,674.81,680.56
1999-04-23,680.59,687.12,670.31,678.81
1999-04-26,678.72,678.72,639.72,640.97
1999-04-28,640.88,649.7,627.8,648.67
1999-04-29,648.67,668.21,648.67,667.67
1999-04-30,667.68,681.66,667.29,680.6
1999-05-03,680.59,687.01,675.32,676.25
1999-05-04,676.23,703.51,676.15,702.94
1999-05-05,703.09,722.55,702.96,714.36
1999-05-06,714.36,728.09,714.24,727.58
1999-05-07,727.63,743.76,727.63,737.1
1999-05-10,737.23,755.66,737.1,755.44
1999-05-11,755.46,768.89,755.46,766.63
1999-05-12,766.66,780.91,742.75,756.68
1999-05-13,756.8,779.62,756.8,778.65
1999-05-14,778.75,792.14,777.12,788.25
1999-05-17,788.2,791.46,760.75,776.92
1999-05-18,776.88,791.3,776.8,783.32
1999-05-19,783.55,805.66,783.55,802.09
1999-05-20,802.08,815.56,794.6,797.24
1999-05-21,797.33,802.55,778.55,781.83
1999-05-24,781.77,784.58,772.5,782.99
1999-05-25,782.95,789.91,780.4,788.08
1999-05-26,788.1,798.71,768.39,775.83
1999-05-27,775.83,784.07,751.89,751.89
1999-05-28,751.87,752.33,720.48,739.66
1999-05-31,739.63,772.63,739.63,772.28
1999-06-01,772.24,774.94,758.06,764.61
1999-06-02,764.59,770.81,757.53,768.43
1999-06-03,768.41,779.53,768.41,776.87
1999-06-04,776.87,789.98,776.87,786.69
