Date,Open,High,Low,Close
1996-11-04,,,,1000.0
1996-11-05,1000.31,1000.31,991.0,991.0
1996-11-06,983.92,991.65,980.21,988.15
1996-11-07,988.83,997.47,988.83,997.06
1996-11-08,1000.46,1004.18,1000.46,1004.09
1996-11-10,1008.38,1008.38,1003.27,1003.97
1996-11-11,1001.0,1005.24,994.93,1004.03
1996-11-13,1003.29,1010.51,1003.29,1008.97
1996-11-14,1009.06,1009.06,1004.19,1007.36
1996-11-15,1005.14,1009.08,1005.14,1008.75
1996-11-18,1009.88,1013.37,1007.86,1011.69
1996-11-19,1007.51,1012.31,1007.25,1007.27
1996-11-20,1004.13,1004.13,999.84,1001.01
1996-11-21,995.6,996.46,992.17,993.9
1996-11-22,992.3,992.3,986.22,986.57
1996-11-25,983.42,983.87,972.85,982.21
1996-11-26,981.97,989.81,981.97,984.97
1996-11-27,978.42,978.45,970.25,971.78
1996-11-28,970.6,971.27,964.36,966.96
1996-11-29,965.42,965.42,958.86,960.45
1996-12-02,960.65,960.65,945.93,946.53
1996-12-03,941.18,941.18,932.55,933.45
1996-12-04,924.6,924.6,907.02,912.89
1996-12-05,911.05,925.27,911.05,924.51
1996-12-06,924.12,928.97,923.85,928.39
1996-12-09,929.12,929.88,926.97,929.41
1996-12-10,928.74,929.67,924.56,929.32
1996-12-11,929.77,957.94,929.77,955.96
1996-12-12,960.75,965.14,949.86,950.23
1996-12-13,948.13,948.13,944.47,947.55
1996-12-16,951.6,964.75,951.6,964.75
1996-12-17,965.49,966.62,959.36,961.39
1996-12-18,967.67,981.21,967.67,978.01
1996-12-19,973.81,980.53,973.81,979.7
1996-12-20,987.17,1001.46,987.17,999.54
1996-12-23,1004.12,1011.59,1004.12,1006.08
1996-12-24,1003.37,1006.15,1000.25,1006.03
1996-12-26,1011.95,1040.65,1011.95,1040.65
1996-12-31,1048.91,1048.91,1033.89,1035.07
1997-01-01,1051.89,1077.83,1051.89,1077.83
1997-01-02,1086.24,1086.24,1073.2,1074.17
1997-01-03,1068.18,1068.18,1060.41,1067.01
1997-01-06,1075.0,1075.0,1064.91,1065.31
1997-01-07,1061.97,1064.63,1056.96,1059.07
1997-01-08,1075.99,1086.57,1075.99,1084.25
1997-01-09,1083.87,1090.85,1083.87,1089.5
1997-01-10,1101.03,1114.66,1101.03,1113.1
1997-01-13,1107.35,1120.42,1107.35,1120.19
1997-01-14,1125.88,1129.71,1121.74,1123.17
1997-01-15,1147.53,1177.83,1147.53,1176.95
1997-01-16,1207.05,1207.05,1137.63,1142.52
1997-01-17,1131.9,1134.49,1111.78,1122.98
1997-01-20,1114.8,1117.14,1095.43,1096.82
1997-01-21,1088.29,1088.29,1072.06,1072.06
1997-01-22,1084.84,1096.72,1084.84,1096.72
1997-01-24,1095.73,1095.73,1084.73,1085.06
1997-01-27,1095.56,1098.66,1095.24,1095.56
1997-01-28,1097.02,1098.22,1092.48,1097.35
1997-01-29,1106.82,1111.63,1097.35,1099.63
1997-01-30,1095.95,1095.95,1086.34,1089.54
1997-01-31,1080.18,1080.18,1065.28,1067.8
1997-02-03,1062.43,1062.43,1045.4,1045.89
1997-02-04,1043.6,1045.94,1037.07,1041.99
1997-02-05,1059.92,1060.8,1054.68,1055.36
1997-02-06,1056.81,1056.81,1052.74,1055.49
1997-02-07,1056.22,1061.22,1053.88,1061.22
1997-02-10,1062.79,1065.45,1060.98,1061.69
1997-02-11,1061.11,1065.47,1061.11,1065.14
1997-02-12,1067.22,1074.53,1067.22,1071.88
1997-02-13,1071.22,1073.74,1069.54,1073.74
1997-02-14,1076.96,1078.16,1075.19,1075.29
1997-02-17,1083.79,1083.79,1077.57,1081.4
1997-02-18,1079.46,1079.46,1068.43,1068.43
1997-02-19,1072.48,1075.07,1068.91,1073.17
1997-02-20,1070.38,1070.38,1063.62,1064.27
1997-02-21,1060.37,1060.37,1049.97,1050.41
1997-02-24,1041.32,1041.32,1024.36,1027.13
1997-02-25,1020.94,1029.57,1020.94,1023.24
1997-02-26,1026.98,1029.8,1023.9,1029.47
1997-02-27,1036.49,1052.79,1036.49,1052.79
1997-02-28,1061.69,1063.81,1052.44,1053.11
1997-03-01,1133.33,1141.12,1129.94,1141.12
1997-03-03,1166.99,1189.55,1166.99,1170.56
1997-03-04,1167.32,1167.69,1160.39,1166.43
1997-03-05,1208.87,1208.87,1182.54,1187.68
1997-03-06,1180.61,1182.55,1170.96,1172.9
1997-03-10,1146.78,1146.78,1118.84,1119.96
1997-03-11,1106.43,1114.1,1094.69,1095.46
1997-03-12,1115.48,1115.48,1107.19,1114.08
1997-03-13,1115.35,1115.35,1105.31,1107.04
1997-03-14,1101.27,1105.5,1100.91,1105.38
1997-03-17,1102.75,1102.75,1096.07,1097.93
1997-03-18,1099.72,1101.1,1097.35,1098.06
1997-03-19,1107.33,1107.39,1095.9,1096.89
1997-03-20,1090.21,1096.59,1090.21,1095.55
1997-03-21,1099.53,1100.04,1097.06,1099.62
1997-03-25,1101.02,1103.35,1095.01,1100.45
1997-03-26,1104.19,1104.19,1100.37,1101.88
1997-03-27,1098.52,1103.54,1095.6,1102.99
1997-03-31,1081.35,1081.35,1032.65,1032.95
1997-04-01,1028.3,1041.2,1016.65,1036.35
1997-04-02,1036.85,1069.85,1036.85,1068.3
1997-04-03,1069.5,1080.35,1068.5,1077.0
1997-04-04,1078.8,1078.8,1068.45,1072.95
1997-04-07,1073.2,1073.2,1057.25,1059.05
1997-04-09,1061.25,1089.45,1061.1,1088.6
1997-04-10,1086.65,1086.85,1063.6,1070.3
1997-04-11,1067.95,1069.3,1047.3,1067.75
1997-04-12,1066.95,1066.95,1061.45,1063.3
1997-04-15,1065.35,1069.2,1061.4,1062.8
1997-04-17,1063.25,1076.85,1063.25,1075.4
1997-04-21,1077.05,1093.3,1077.05,1092.15
1997-04-22,1092.35,1096.85,1084.9,1087.8
1997-04-23,1087.9,1097.5,1087.2,1094.6
1997-04-24,1094.8,1099.55,1088.45,1091.25
1997-04-25,1091.1,1091.95,1087.0,1090.65
1997-04-28,1090.15,1094.85,1087.5,1094.15
1997-04-29,1093.3,1095.9,1082.1,1086.35
1997-04-30,1088.55,1113.85,1088.05,1104.65
1997-05-02,1104.25,1104.45,1095.1,1101.8
1997-05-05,1101.85,1101.85,1086.3,1087.7
1997-05-06,1087.15,1090.75,1079.95,1088.05
1997-05-07,1091.65,1106.85,1089.4,1105.1
1997-05-08,1107.15,1126.35,1107.15,1125.5
1997-05-09,1127.0,1136.2,1122.9,1128.85
1997-05-12,1128.55,1135.45,1125.75,1126.25
1997-05-13,1125.65,1127.9,1120.0,1122.3
1997-05-14,1126.75,1140.45,1121.85,1139.35
1997-05-15,1142.9,1146.15,1137.7,1139.95
1997-05-16,1139.75,1143.0,1135.7,1136.5
1997-05-19,1137.1,1144.45,1137.1,1139.65
1997-05-20,1139.65,1144.6,1131.1,1133.95
1997-05-21,1137.5,1140.55,1124.1,1125.4
1997-05-22,1125.6,1126.95,1112.15,1113.85
1997-05-23,1114.1,1114.25,1104.25,1111.7
1997-05-26,1112.95,1113.15,1100.15,1104.65
1997-05-27,1104.8,1105.45,1093.75,1095.15
1997-05-28,1095.05,1101.8,1092.65,1096.45
1997-05-29,1094.7,1104.75,1092.55,1102.95
1997-05-30,1103.65,1116.85,1103.3,1116.15
1997-06-02,1116.65,1123.25,1114.05,1118.4
1997-06-03,1118.95,1123.3,1112.45,1116.9
1997-06-04,1118.7,1131.15,1118.7,1127.15
1997-06-05,1127.65,1140.45,1127.6,1133.3
1997-06-06,1133.5,1133.95,1127.7,1132.35
1997-06-09,1132.9,1136.45,1129.5,1133.3
1997-06-10,1134.7,1140.15,1132.9,1135.55
1997-06-11,1136.75,1162.65,1136.75,1159.95
1997-06-12,1163.45,1173.85,1162.75,1171.95
1997-06-13,1175.3,1185.45,1172.65,1181.5
1997-06-16,1179.55,1186.75,1165.1,1166.05
1997-06-17,1165.15,1172.5,1164.25,1168.9
1997-06-18,1175.45,1200.3,1175.45,1187.5
1997-06-19,1191.45,1193.2,1183.25,1192.05
1997-06-20,1192.15,1197.55,1189.65,1191.65
1997-06-23,1193.1,1195.75,1183.7,1185.5
1997-06-24,1185.0,1185.0,1173.05,1175.35
1997-06-25,1164.5,1179.95,1164.2,1171.6
1997-06-26,1170.25,1173.9,1167.5,1169.0
1997-06-27,1168.5,1171.05,1157.75,1159.4
1997-06-30,1160.4,1169.65,1149.0,1163.9
1997-07-01,1166.45,1179.85,1166.45,1174.7
1997-07-02,1176.9,1205.05,1176.9,1197.8
1997-07-03,1198.95,1203.7,1189.35,1192.45
1997-07-04,1194.55,1205.9,1188.4,1205.2
1997-07-07,1206.45,1231.25,1204.6,1230.1
1997-07-08,1232.3,1248.45,1226.55,1245.8
1997-07-09,1248.85,1299.95,1248.85,1298.6
1997-07-10,1306.4,1331.15,1306.4,1314.2
1997-07-11,1313.45,1313.45,1289.5,1305.4
1997-07-14,1305.95,1306.5,1269.2,1271.0
1997-07-15,1271.3,1279.2,1265.05,1266.4
1997-07-16,1269.9,1302.55,1269.9,1278.85
1997-07-17,1280.35,1285.6,1269.35,1284.4
1997-07-21,1278.15,1278.15,1261.65,1268.65
1997-07-22,1265.35,1279.7,1264.55,1275.6
1997-07-23,1282.45,1313.6,1282.2,1313.1
1997-07-24,1315.5,1328.75,1305.4,1309.05
1997-07-25,1308.95,1308.95,1286.1,1291.85
